genre=Music & Audio,appId=4738
genre=Education,appId=18863
genre=Trivia,appId=3193
genre=Auto & Vehicles,appId=1046
genre=Entertainment,appId=10213
genre=Adventure,appId=5949
genre=Arcade,appId=11770
genre=Sports,appId=7250
genre=Travel & Local,appId=4231
genre=Food & Drink,appId=1384
genre=Role Playing,appId=6442
genre=Finance,appId=3354
genre=Personalization,appId=4284
genre=Racing,appId=3345
genre=Tools,appId=14692
genre=Educational,appId=4777
genre=Comics,appId=443
genre=Social,appId=4601
genre=Libraries & Demo,appId=209
genre=Shopping,appId=926
genre=House & Home,appId=218
genre=Health & Fitness,appId=3791
genre=Productivity,appId=6969
genre=Card,appId=3320
genre=Casino,appId=2507
genre=Music,appId=848
genre=Photography,appId=2749
genre=Events,appId=253
genre=Lifestyle,appId=6397
genre=Business,appId=3911
genre=News & Magazines,appId=5265
genre=Video Players & Editors,appId=1500
genre=Books & Reference,appId=7436
genre=Dating,appId=2728
genre=Weather,appId=1882
genre=Puzzle,appId=15918
genre=Casual,appId=13196
genre=Board,appId=3105
genre=Medical,appId=1812
genre=Parenting,appId=823
genre=Word,appId=4216
genre=Communication,appId=2433
genre=Beauty,appId=317
genre=Action,appId=8936
genre=Strategy,appId=5193
genre=Maps & Navigation,appId=2098
genre=Art & Design,appId=1213
genre=Simulation,appId=8933
